r030,txt,rate,cc,exchangedate
36,Австралійський долар,15.9946,AUD,02.03.2020
124,Канадський долар,18.3002,CAD,02.03.2020
156,Юань Женьмiньбi,3.5199,CNY,02.03.2020
191,Куна,3.6122,HRK,02.03.2020
203,Чеська крона,1.0624,CZK,02.03.2020
208,Данська крона,3.6106,DKK,02.03.2020
344,Гонконгівський долар,3.1548,HKD,02.03.2020
348,Форинт,0.079931,HUF,02.03.2020
356,Індійська рупія,0.34075,INR,02.03.2020
360,Рупія,0.0017221,IDR,02.03.2020
376,Новий ізраїльський шекель,7.0946,ILS,02.03.2020
392,Єна,0.22628,JPY,02.03.2020
398,Теньге,0.064422,KZT,02.03.2020
410,Вона,0.020237,KRW,02.03.2020
484,Мексиканське песо,1.2424,MXN,02.03.2020
498,Молдовський лей,1.3837,MDL,02.03.2020
554,Новозеландський долар,15.3343,NZD,02.03.2020
578,Норвезька крона,2.5961,NOK,02.03.2020
643,Російський рубль,0.36626,RUB,02.03.2020
682,Саудівський рiял,6.5547,SAR,02.03.2020
702,Сінгапурський долар,17.626,SGD,02.03.2020
710,Ренд,1.5777,ZAR,02.03.2020
752,Шведська крона,2.527,SEK,02.03.2020
756,Швейцарський франк,25.4384,CHF,02.03.2020
818,Єгипетський фунт,1.5728,EGP,02.03.2020
826,Фунт стерлінгів,31.6486,GBP,02.03.2020
840,Долар США,24.59,USD,02.03.2020
933,Бiлоруський рубль,10.9998,BYN,02.03.2020
944,Азербайджанський манат,14.4826,AZN,02.03.2020
946,Румунський лей,5.6051,RON,02.03.2020
949,Турецька ліра,3.9463,TRY,02.03.2020
960,СПЗ (спеціальні права запозичення),33.7512,XDR,02.03.2020
975,Болгарський лев,13.8053,BGN,02.03.2020
978,Євро,26.9789,EUR,02.03.2020
985,Злотий,6.237,PLN,02.03.2020
12,Алжирський динар,0.20442,DZD,02.03.2020
50,Така,0.28946,BDT,02.03.2020
51,Вірменський драм,0.051379,AMD,02.03.2020
364,Іранський ріал,0.00058548,IRR,02.03.2020
368,Іракський динар,0.020664,IQD,02.03.2020
417,Сом,0.35204,KGS,02.03.2020
422,Ліванський фунт,0.016312,LBP,02.03.2020
434,Лівійський динар,17.415,LYD,02.03.2020
458,Малайзійський ринггіт,5.8341,MYR,02.03.2020
504,Марокканський дирхам,2.5537,MAD,02.03.2020
608,Філіппінське песо,0.48228,PHP,02.03.2020
704,Донг,0.0010581,VND,02.03.2020
764,Бат,0.77962,THB,02.03.2020
784,Дирхам ОАЕ,6.6948,AED,02.03.2020
788,Туніський динар,8.6081,TND,02.03.2020
860,Узбецький сум,0.0025813,UZS,02.03.2020
901,Новий тайванський долар,0.8119,TWD,02.03.2020
934,Туркменський новий манат,7.0257,TMT,02.03.2020
936,Ганське седі,4.4547,GHS,02.03.2020
941,Сербський динар,0.22954,RSD,02.03.2020
972,Сомоні,2.5403,TJS,02.03.2020
981,Ларі,8.8533,GEL,02.03.2020
986,Бразильський реал,5.4721,BRL,02.03.2020
959,Золото,39881.29,XAU,02.03.2020
961,Срiбло,422.94,XAG,02.03.2020
962,Платина,21494.61,XPT,02.03.2020
964,Паладiй,66796.52,XPD,02.03.2020
